chart_week,title,performer
1978-05-13,If I Can't Have You,Yvonne Elliman
1978-05-20,With A Little Luck,Wings
1978-06-03,"Too Much, Too Little, Too Late",Johnny Mathis/Deniece Williams
1978-06-10,You're The One That I Want,John Travolta & Olivia Newton-John
1978-06-17,Shadow Dancing,Andy Gibb
1978-08-05,Miss You,The Rolling Stones
1978-08-12,Three Times A Lady,Commodores
1978-08-26,Grease,Frankie Valli
1978-09-09,Boogie Oogie Oogie,A Taste Of Honey
1978-09-30,Kiss You All Over,Exile
1978-10-28,Hot Child In The City,Nick Gilder
1978-11-04,You Needed Me,Anne Murray
1978-11-11,MacArthur Park,Donna Summer
1978-12-02,You Don't Bring Me Flowers,Barbra Streisand & Neil Diamond
1978-12-09,Le Freak,Chic
1979-01-06,Too Much Heaven,Bee Gees
1979-02-10,Da Ya Think I'm Sexy?,Rod Stewart
1979-03-10,I Will Survive,Gloria Gaynor
1979-03-24,Tragedy,Bee Gees
1979-04-14,What A Fool Believes,The Doobie Brothers
1979-04-21,Knock On Wood,Amii Stewart
1979-04-28,Heart Of Glass,Blondie
1979-05-05,Reunited,Peaches & Herb
1979-06-02,Hot Stuff,Donna Summer
1979-06-09,Love You Inside Out,Bee Gees
1979-06-30,Ring My Bell,Anita Ward
1979-07-14,Bad Girls,Donna Summer
1979-08-18,Good Times,Chic
1979-08-25,My Sharona,The Knack
1979-10-06,Sad Eyes,Robert John
1979-10-13,Don't Stop 'til You Get Enough,Michael Jackson
1979-10-20,Rise,Herb Alpert
1979-11-03,Pop Muzik,M
1979-11-10,Heartache Tonight,Eagles
1979-11-17,Still,Commodores
1979-11-24,No More Tears (Enough Is Enough),Barbra Streisand/Donna Summer
1979-12-08,Babe,Styx
1979-12-22,Escape (The Pina Colada Song),Rupert Holmes
1980-01-05,Please Don't Go,KC And The Sunshine Band
1980-01-19,Rock With You,Michael Jackson
1980-02-16,Do That To Me One More Time,Captain & Tennille
1980-02-23,Crazy Little Thing Called Love,Queen
1980-03-22,Another Brick In The Wall (Part II),Pink Floyd
1980-04-19,Call Me,Blondie
1980-05-31,Funkytown,"Lipps, Inc."
1980-06-28,Coming Up (Live At Glasgow),Paul McCartney And Wings
1980-07-19,It's Still Rock And Roll To Me,Billy Joel
1980-08-02,Magic,Olivia Newton-John
1980-08-30,Sailing,Christopher Cross
1980-09-06,Upside Down,Diana Ross
1980-10-04,Another One Bites The Dust,Queen
1980-10-25,Woman In Love,Barbra Streisand
1980-11-15,Lady,Kenny Rogers
1980-12-27,(Just Like) Starting Over,John Lennon
1981-01-31,The Tide Is High,Blondie
1981-02-07,Celebration,Kool & The Gang
1981-02-21,9 To 5,Dolly Parton
1981-02-28,I Love A Rainy Night,Eddie Rabbitt
1981-03-21,Keep On Loving You,REO Speedwagon
1981-03-28,Rapture,Blondie
1981-04-11,Kiss On My List,Daryl Hall John Oates
1981-05-02,Morning Train (Nine To Five),Sheena Easton
1981-05-16,Bette Davis Eyes,Kim Carnes
1981-06-20,Medley,Stars On 45
1981-07-25,The One That You Love,Air Supply
1981-08-01,Jessie's Girl,Rick Springfield
1981-08-15,Endless Love,Diana Ross & Lionel Richie
1981-10-17,Arthur's Theme (Best That You Can Do),Christopher Cross
